cases,deaths,countriesAndTerritories,year,month,day
591,1,Afghanistan,2020,5,26
584,2,Afghanistan,2020,5,25
782,11,Afghanistan,2020,5,24
540,12,Afghanistan,2020,5,23
531,6,Afghanistan,2020,5,22
492,9,Afghanistan,2020,5,21
581,5,Afghanistan,2020,5,20
408,4,Afghanistan,2020,5,19
262,1,Afghanistan,2020,5,18
0,0,Afghanistan,2020,5,17
1063,32,Afghanistan,2020,5,16
113,6,Afghanistan,2020,5,15
259,3,Afghanistan,2020,5,14
280,5,Afghanistan,2020,5,13
285,2,Afghanistan,2020,5,12
369,5,Afghanistan,2020,5,11
255,6,Afghanistan,2020,5,10
215,3,Afghanistan,2020,5,9
171,2,Afghanistan,2020,5,8
168,9,Afghanistan,2020,5,7
330,5,Afghanistan,2020,5,6
190,5,Afghanistan,2020,5,5
235,13,Afghanistan,2020,5,4
134,4,Afghanistan,2020,5,3
164,4,Afghanistan,2020,5,2
222,4,Afghanistan,2020,5,1
122,0,Afghanistan,2020,4,30
124,3,Afghanistan,2020,4,29
172,0,Afghanistan,2020,4,28
68,10,Afghanistan,2020,4,27
112,4,Afghanistan,2020,4,26
70,1,Afghanistan,2020,4,25
105,2,Afghanistan,2020,4,24
84,4,Afghanistan,2020,4,23
61,1,Afghanistan,2020,4,22
35,2,Afghanistan,2020,4,21
88,3,Afghanistan,2020,4,20
63,0,Afghanistan,2020,4,19
51,1,Afghanistan,2020,4,18
10,4,Afghanistan,2020,4,17
70,2,Afghanistan,2020,4,16
49,2,Afghanistan,2020,4,15
58,3,Afghanistan,2020,4,14
52,0,Afghanistan,2020,4,13
34,3,Afghanistan,2020,4,12
37,0,Afghanistan,2020,4,11
61,1,Afghanistan,2020,4,10
56,3,Afghanistan,2020,4,9
30,4,Afghanistan,2020,4,8
38,0,Afghanistan,2020,4,7
29,2,Afghanistan,2020,4,6
35,1,Afghanistan,2020,4,5
0,0,Afghanistan,2020,4,4
43,0,Afghanistan,2020,4,3
26,0,Afghanistan,2020,4,2
25,0,Afghanistan,2020,4,1
27,0,Afghanistan,2020,3,31
8,1,Afghanistan,2020,3,30
15,1,Afghanistan,2020,3,29
16,1,Afghanistan,2020,3,28
0,0,Afghanistan,2020,3,27
33,0,Afghanistan,2020,3,26
2,0,Afghanistan,2020,3,25
6,1,Afghanistan,2020,3,24
10,0,Afghanistan,2020,3,23
0,0,Afghanistan,2020,3,22
2,0,Afghanistan,2020,3,21
0,0,Afghanistan,2020,3,20
0,0,Afghanistan,2020,3,19
1,0,Afghanistan,2020,3,18
5,0,Afghanistan,2020,3,17
6,0,Afghanistan,2020,3,16
3,0,Afghanistan,2020,3,15
3,0,Afghanistan,2020,3,11
3,0,Afghanistan,2020,3,8
0,0,Afghanistan,2020,3,2
0,0,Afghanistan,2020,3,1
0,0,Afghanistan,2020,2,29
0,0,Afghanistan,2020,2,28
0,0,Afghanistan,2020,2,27
0,0,Afghanistan,2020,2,26
1,0,Afghanistan,2020,2,25
0,0,Afghanistan,2020,2,24
0,0,Afghanistan,2020,2,23
0,0,Afghanistan,2020,2,22
0,0,Afghanistan,2020,2,21
0,0,Afghanistan,2020,2,20
0,0,Afghanistan,2020,2,19
0,0,Afghanistan,2020,2,18
0,0,Afghanistan,2020,2,17
0,0,Afghanistan,2020,2,16
