location_name,est_infections_lower,est_infections_upper,year,month,day
Spain,26920.0993262009,34856.350446643104,2020,4,8
Spain,25809.1001737496,33378.6972265254,2020,4,9
Spain,24756.893423240697,31887.8604520296,2020,4,10
Spain,23684.2837497798,30736.3393812225,2020,4,11
Spain,22673.895535432002,29474.0555411375,2020,4,12
Spain,21604.677071790702,28174.0979775454,2020,4,13
Spain,20565.8525054623,26956.4494249698,2020,4,14
Spain,19607.566936311698,25857.8238004573,2020,4,15
Spain,18687.5993705094,24877.6432602648,2020,4,16
Spain,17820.2427591142,23957.2341563756,2020,4,17
Spain,17018.5333679303,22903.6054518687,2020,4,18
Spain,16213.834991298201,21993.083332757906,2020,4,19
Spain,15313.664219035902,21065.1363760004,2020,4,20
Spain,14382.0940645919,20139.976233044,2020,4,21
Spain,13479.001978596101,19246.664140694298,2020,4,22
Spain,12628.1250605575,18193.8230795997,2020,4,23
Spain,11735.8740906402,17284.6965860826,2020,4,24
Spain,10779.0222147086,16302.4398551866,2020,4,25
Spain,9821.08266510869,15268.982111328898,2020,4,26
Spain,8917.119071301559,14286.3634231509,2020,4,27
Spain,8050.74674207982,13247.7695494981,2020,4,28
Spain,7227.74469078697,12183.269141750601,2020,4,29
Spain,6455.41446661334,11061.568169325901,2020,4,30
Spain,5756.18358154035,9982.83454745657,2020,5,1
Spain,5124.2218216476895,8971.93265933564,2020,5,2
Spain,4567.50344725956,7942.54845205433,2020,5,3
Spain,4082.035104044449,7070.91842811375,2020,5,4
Spain,3682.66818222675,6274.239585630799,2020,5,5
Spain,3334.27434193107,5555.76737639141,2020,5,6
Spain,3040.06322764636,4940.26896570523,2020,5,7
Spain,2788.6463844969,4431.435110334621,2020,5,8
Spain,2572.084115485861,3989.56494925274,2020,5,9
Spain,2376.4820247460502,3600.92925275759,2020,5,10
Spain,2204.43841899784,3283.7326891344396,2020,5,11
Spain,2059.9936122798604,2996.774072794609,2020,5,12
Spain,1931.27776571988,2757.25199780417,2020,5,13
Spain,1819.5523052842104,2540.45116560514,2020,5,14
Spain,1718.56070921056,2357.59093387053,2020,5,15
Spain,1627.84948722985,2195.78694033733,2020,5,16
Spain,1550.4228155971398,2063.15185500857,2020,5,17
Spain,1481.76820124175,1942.0398081766598,2020,5,18
Spain,1418.82708080784,1838.66408455142,2020,5,19
Spain,1362.66385418769,1747.90227310548,2020,5,20
Spain,1309.91880789755,1666.48931608325,2020,5,21
Spain,1264.8431544644,1590.27240639452,2020,5,22
Spain,1223.70626710166,1525.3176059369198,2020,5,23
Spain,1187.12342771223,1466.83496141602,2020,5,24
Spain,1153.4852076294098,1413.79148925269,2020,5,25
Spain,1121.67247713737,1367.1817770621801,2020,5,26
Spain,1095.9302217968302,1325.27846123496,2020,5,27
Spain,1068.2570120697599,1287.60570794121,2020,5,28
Spain,1039.9155006983099,1250.97001469979,2020,5,29
Spain,1013.3461852750801,1219.78676092761,2020,5,30
Spain,983.9831107166028,1189.36431109824,2020,5,31
Spain,954.105289863837,1156.44798101673,2020,6,1
Spain,926.9128636099181,1129.18337331914,2020,6,2
